4500024000004000 00 1 0
0111C56CC0A8019E 4F 0 0
EFFFFFFAA122076C FF 0 0
008CF7A14D2D5345 FF 0 0
41524348202A2048 FF 0 0
5454502F312E310D FF 0 0
0A4D583A20320D0A FF 0 0
484F53543A203233 FF 0 0
392E3235352E3235 FF 0 0
352E3235303A3139 FF 0 0
30300D0A4D414E3A FF 0 0
2022737364703A64 FF 0 0
6973636F76657222 FF 0 0
41524348202A2048 FF 0 0
5454502F312E310D FF 0 0
0A4D583A20320D0A FF 0 0
484F53543A203233 FF 0 0
392E3235352E3235 FF 0 0
352E3235303A3139 FF 0 0
30300D0A4D414E3A FF 0 0
2022737364703A64 FF 0 0
6973636F76657222 FF 0 0
41524348202A2048 FF 0 0
5454502F312E310D FF 0 0
0A4D583A20320D0A FF 0 0
484F53543A203233 FF 0 0
392E3235352E3235 FF 0 0
352E3235303A3139 FF 0 0
30300D0A4D414E3A FF 0 0
2022737364703A64 FF 0 0
6973636F76657222 FF 0 0
41524348202A2048 FF 0 0
5454502F312E310D FF 0 0
0A4D583A20320D0A FF 0 0
484F53543A203233 FF 0 0
392E3235352E3235 FF 0 0
352E3235303A3139 FF 0 0
30300D0A4D414E3A FF 0 0
2022737364703A64 FF 0 0
6973636F76657222 FF 0 0
41524348202A2048 FF 0 0
5454502F312E310D FF 0 0
0A4D583A20320D0A FF 0 0
484F53543A203233 FF 0 0
392E3235352E3235 FF 0 0
352E3235303A3139 FF 0 0
30300D0A4D414E3A FF 0 0
2022737364703A64 FF 0 0
6973636F76657222 FF 0 0
41524348202A2048 FF 0 0
5454502F312E310D FF 0 0
0A4D583A20320D0A FF 0 0
484F53543A203233 FF 0 0
392E3235352E3235 FF 0 0
352E3235303A3139 FF 0 0
30300D0A4D414E3A FF 0 0
2022737364703A64 FF 0 0
6973636F76657222 FF 0 0
41524348202A2048 FF 0 0
5454502F312E310D FF 0 0
0A4D583A20320D0A FF 0 0
484F53543A203233 FF 0 0
392E3235352E3235 FF 0 0
352E3235303A3139 FF 0 0
30300D0A4D414E3A FF 0 0
2022737364703A64 FF 0 0
6973636F76657222 FF 0 0
41524348202A2048 FF 0 0
5454502F312E310D FF 0 0
0A4D583A20320D0A FF 0 0
484F53543A203233 FF 0 0
392E3235352E3235 FF 0 0
352E3235303A3139 FF 0 0
30300D0A4D414E3A FF 0 0
2022737300000000 F0 0 1
