0000000000000000 00 0 0
450000A000004000 FF 1 0
0111C70CC0A8019E FF 0 0
EFFFFFFAA122076C FF 0 0
008CF7A14D2D5345 FF 0 0
41524348202A2048 FF 0 0
5454502F312E310D FF 0 0
0A4D583A20320D0A FF 0 0
484F53543A203233 FF 0 0
392E3235352E3235 FF 0 0
352E3235303A3139 FF 0 0
30300D0A4D414E3A FF 0 0
2022737364703A64 FF 0 0
6973636F76657222 FF 0 0
0D0A53543A207572 FF 0 0
6E3A736368656D61 FF 0 0
732D75706E702D6F FF 0 0
72673A7365727669 FF 0 0
63653A57414E4950 FF 0 0
436F6E6E65637469 FF 0 0
6F6E3A310D0A0D0A FF 0 1
